DTXSID,Preferred Name,CASRN,QC Level,ToxCast: # Active,ToxCast: Total,Molecular Formula,Monoisotopic Mass,Hit Call,Continuous Hit Call,Top,Scaled Top,AC50,Log AC50
DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,1,324,800,C8H12INO2,280.99127,Inactive,-0.9857301293786631,-2.482033506516879,3.9700661122326295,146.57587950337026,2.1660625087740417
DTXSID0022353,"3-Chloro[1,1′-biphenyl]-4-ol",92-04-6,1,115,414,C12H9ClO,204.0341926,Active,0.9999801623441121,1.5705776551883688,2.512172824871864,4.357422705343499,0.6392296920664765
DTXSID1023998,Cypermethrin,52315-07-8,1,136,857,C22H19Cl2NO3,415.0741989,Active,0.9999918293398239,1.124290541194783,1.798326963025121,17.48329648456091,1.2426233224675658
DTXSID1024259,Phosalone,2310-17-0,1,180,788,C12H15ClNO4PS2,366.986865,Active,0.99999970335895,0.9078702332037585,1.452158013855751,4.2569093741616655,0.6290944045298601
DTXSID1026081,"3,3',5,5'-Tetrabromobisphenol A",79-94-7,1,309,747,C15H12Br4O2,539.757082,Inactive,0.1385777774229163,0.5328718918660393,0.8523400810279377,1.8850415620347352,0.27532093011918707
DTXSID2022678,Bicalutamide,90357-06-5,1,60,409,C18H14F4N2O4S,430.061040765,Inactive,0.5427526485072391,0.6263580593737917,1.0018732217412043,25.819083370626306,1.411940819876749
DTXSID2023270,Metformin,657-24-9,1,5,461,C4H11N5,129.101445374,Inactive,-0.9999994411306217,-1.6876008688877462,2.699353978483457,36.76292958831374,1.5654101124350601
DTXSID2023569,Rosiglitazone maleate,155141-29-0,1,103,536,C22H23N3O7S,473.125671267,Inactive,-1.4521745600715227e-06,-0.17566592973241243,0.2809814423831777,0.1,-1.0
DTXSID2024163,Linuron,330-55-2,1,128,799,C9H10Cl2N2O2,248.011933,Inactive,0.7823660498962187,1.0965081216324466,1.7538883838799726,99.99999999999999,2.0
DTXSID3022405,2-Hydroxy-4-methoxybenzophenone,131-57-7,1,70,522,C14H12O3,228.078644246,Active,0.9999981904575816,1.8567455043305836,2.9699044700358095,6.541338100668803,0.8156665969931491
DTXSID3022409,"4,4'-Sulfonyldiphenol",80-09-1,1,56,429,C12H10O4S,250.029979976,Active,0.9999999992009946,3.071043470397103,4.912200249917906,1.8723833358883182,0.272394767274912
DTXSID3022536,4-Cumylphenol,599-64-4,1,297,724,C15H16O,212.120115135,Active,0.9999999811860617,2.5615412211449122,4.09724041615602,0.7259002969514148,-0.13912302593540665
DTXSID3024104,Fluoranthene,206-44-0,1,85,641,C16H10,202.078250322,Active,0.9999989270564407,1.0632155941574832,1.7006362683175162,11.42807442471391,1.0579730600391373
DTXSID3024289,Pyrene,129-00-0,1,61,669,C16H10,202.078250322,Active,0.9975479292376256,1.053068655819887,1.684406021654353,19.84251466775595,1.297596710011974
DTXSID4022361,Vinclozolin,50471-44-8,1,112,836,C12H9Cl2NO3,284.9959486,Active,0.9009587062243724,0.8452492432594954,1.351994390182088,3.58373849290137,0.5543363114718172
DTXSID4022367,Estrone,53-16-7,1,121,686,C18H22O2,270.161979948,Active,0.9999999976358172,2.9384686121383123,4.700143905503005,0.004220128364670277,-2.374674338796593
DTXSID4022446,"2,2′-Methylenebis[phenol]",2467-02-9,1,93,516,C13H12O2,200.083729626,Active,0.9999546880052242,1.626961181894393,2.6023594916013884,26.88611506918931,1.429528053026398
DTXSID4022448,Metolachlor,51218-45-2,1,105,759,C15H22ClNO2,283.1339067,Inactive,0.802606942258921,0.7669925874307688,1.2268211817839978,2.6489011055494136,0.42306574458794133
DTXSID4022525,2-Ethylhexyl p-hydroxybenzoate,5153-25-3,1,190,441,C15H22O3,250.156894568,Active,0.9999753613731023,2.0387490100427055,3.2610230018517776,4.335541849284395,0.6370433826538726
DTXSID4022527,Propylparaben,94-13-3,1,101,652,C10H12O3,180.078644246,Active,0.9999990889229957,1.7489501543287234,2.7974834833831337,2.60852921188227,0.4163957045769828
DTXSID4024270,Prochloraz,67747-09-5,1,325,853,C15H16Cl3N3O2,375.0308099,Inactive,0.7564157502688308,0.7407359410731855,1.1848231097791593,8.57288937731875,0.9331272197223011
DTXSID5022489,E-Cinnamic acid,140-10-3,1,10,389,C9H8O2,148.052429498,Inactive,0.00031066522918530524,0.31696249153883593,0.5069883396832365,100.00000000000001,2.0
DTXSID5024059,"3,3'-Dimethylbenzidine",119-93-7,1,90,643,C14H16N2,212.131348523,Active,0.9997734610465706,1.7112161809076276,2.7371271792616767,9.48315820738495,0.9769529959479529
DTXSID5024211,Napropamide,15299-99-7,1,161,768,C17H21NO2,271.15722892,Active,0.9999999301923795,1.688711438904711,2.701130359172129,7.994262559274603,0.9027784078935099
DTXSID6024254,Phenanthrene,85-01-8,1,49,657,C14H10,178.078250322,Active,0.917360714241298,0.6818018769026988,1.0905568033795598,21.33573990454809,1.329107708404165
DTXSID7022332,4-(Butan-2-yl)phenol,99-71-8,1,82,664,C10H14O,150.104465071,Active,0.9999999832499173,2.0584851862517004,3.2925914412570694,5.696472369863806,0.7556059952213705
DTXSID7027047,Isomethyl-alpha-ionone,127-51-5,1,29,640,C14H22O,206.167065328,Active,0.9999689410625475,1.493548936997871,2.388963729203384,19.769675969299,1.2959995511599716
DTXSID8022325,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",2971-36-0,1,394,861,C14H11Cl3O2,315.9824627,Active,0.9999999986423748,1.4604697931428616,2.3360529253421034,0.13984316853478918,-0.8543587444523415
DTXSID8022406,"2,4-Dihydroxybenzophenone",131-56-6,1,95,584,C13H10O3,214.062994182,Active,0.9999998022809662,1.471659749205279,2.3539515013460663,2.30796259162927,0.363228765323968
DTXSID8023216,"3,5,3'-Triiodothyronine",6893-02-3,1,153,711,C15H12I3NO4,650.79004,Active,0.9592360142596309,1.8388476459545189,2.9412764596428036,1.7248156251684057,0.23674267781420516
DTXSID8023719,Troglitazone,97322-87-7,1,273,714,C24H27NO5S,441.160994147,Inactive,4.221779188988693e-18,0.403056434557428,0.6446974579321102,2.701341648778507,0.4315795145080781
DTXSID8023848,Acetochlor,34256-82-1,1,177,734,C14H20ClNO2,269.1182566,Inactive,-0.9117779762480641,-0.8720261015107902,1.3948245523279263,151.57050686332644,2.180614702927877
DTXSID8024151,Imazalil,35554-44-0,1,352,830,C14H14Cl2N2O,296.0483185,Inactive,0.767419086561177,0.6728978027193834,1.0763145447302824,3.752992063051199,0.5743776459540596
DTXSID8024523,"4-Androstene-3,17-dione",63-05-8,1,144,699,C19H26O2,286.193280077,Active,0.9999999620702357,2.668913660767375,4.268984948537894,0.010244384846549145,-1.9895141149367925
DTXSID9022360,"4-(1,1,3,3-Tetramethylbutyl)phenol",140-66-9,1,315,709,C14H22O,206.167065328,Active,0.9999884137901899,2.5913197400984838,4.144871799318111,6.670229168799011,0.8241407552111663
DTXSID9022364,5alpha-Dihydrotestosterone,521-18-6,1,145,709,C19H30O2,290.224580206,Inactive,6.477125749314582e-12,0.47952716951773433,0.7670140473924509,0.26396593070512664,-0.5784521226058107
DTXSID9022366,Estriol,50-27-1,1,73,562,C18H24O3,288.172544633,Active,0.9999913533809276,1.9914922520016118,3.185434798396698,0.023406504495168602,-1.6306634385805343
DTXSID9024986,"4,4'-Dichlorodiphenyl sulfone",80-07-9,1,46,510,C12H8Cl2O2S,285.9622061,Active,0.9997201958206132,1.3402054302225728,2.1436874836647597,27.805594675094422,1.4441321877189892
DTXSID9026261,"Tris(1,3-dichloro-2-propyl) phosphate",13674-87-8,1,237,790,C9H15Cl6O4P,427.8839122,Active,0.9959601521190491,0.8201993738860637,1.311926583984388,7.394124975565294,0.8688867867482712
DTXSID9026265,Tris(2-ethylhexyl) trimellitate,3319-31-1,1,27,631,C33H54O6,546.392039459,Active,0.9910509667632951,1.6593226817081903,2.654122408344634,21.754591199445315,1.3375509266775427
DTXSID0020446,Diuron,330-54-1,1,88,711,C9H10Cl2N2O,232.0170184,Active,0.9999999850307582,1.3392173931918128,2.1421070971296254,47.132053021446424,1.6733163575713526
DTXSID0020814,Mestranol,72-33-3,1,137,539,C21H26O2,310.193280077,Active,0.9999999885492162,2.821999018014033,4.513848278339139,0.00011127359533587736,-3.9536078793346134
DTXSID0021460,Zearalenone,17924-92-4,1,163,429,C18H22O5,318.146723808,Active,0.999999433848797,1.9233445237722693,3.0764310376663984,0.0015850867997249257,-2.7999469507273598
DTXSID1020221,"4-(1,1-Dimethylethyl)phenol",98-54-4,1,64,645,C10H14O,150.104465071,Active,0.9999994068762751,2.242666296893164,3.587193099111873,4.50824064148313,0.6540070898228125
DTXSID1020510,"7,12-Dimethylbenz[a]anthracene",57-97-6,1,356,712,C20H16,256.1252005152,Active,0.9999984426781243,2.3882890195281514,3.8201197839395595,5.0916754386362015,0.7068607124007591
DTXSID1020770,Kepone,143-50-0,1,450,770,C10Cl10O,485.6834416,Active,0.9999953876728058,1.8955359416278044,3.031950610907008,0.5309119613851685,-0.2749774899441031
DTXSID1020855,Methyl parathion,298-00-0,1,138,818,C8H10NO5PS,263.001730598,Active,0.9999587438006523,1.3640402940745529,2.181811862332482,31.053947891634284,1.4921168199252237
DTXSID1021322,Tetraethylthiuram disulfide,97-77-8,1,325,768,C10H20N2S4,296.050933348,Inactive,-0.9998315699908357,-1.0399224726325365,1.6633784181831395,17.945821149172822,1.2539633351906008
DTXSID1021952,Triphenyl phosphate,115-86-6,1,186,748,C18H15O4P,326.070795961,Active,0.998321683571971,0.9133340816550758,1.46089755726723,1.440269744140832,0.15844383752650304
DTXSID2020420,Propyzamide,23950-58-5,1,87,742,C12H11Cl2NO,255.0217694,Active,0.9880388642452395,1.189723760803473,1.90298880868541,27.233638357943946,1.4351056660635502
DTXSID2020426,Dichloran,99-30-9,1,186,730,C6H4Cl2N2O2,205.9649828,Active,0.9999959701394667,1.956333177492854,3.1291971006064836,10.940726821345605,1.0390461742839396
DTXSID2021781,"Dibutyl 1,2-benzenedicarboxylate",84-74-2,1,102,826,C16H22O4,278.151809188,Active,0.9999989606499189,1.3917902411945189,2.226198501105876,30.162802182983086,1.4794716858739807
DTXSID2022179,Pentachloropyridine,2176-62-7,1,76,630,C5Cl5N,248.8473375,Active,0.9303141535164672,1.1059469597422509,1.7689860089604539,26.68471645332447,1.4262625924343117
DTXSID3020465,Diethylstilbestrol,56-53-1,1,423,838,C18H20O2,268.146329884,Active,0.9999999997265765,3.3071294284231554,5.289824830356595,0.00017596220794815427,-3.7545805971970863
DTXSID3020625,Finasteride,98319-26-7,1,44,447,C23H36N2O2,372.277678407,Active,0.9973656795372263,1.0799032498120416,1.727328533362617,33.450318832646715,1.5244002616135344
DTXSID3021770,"2,2',6,6'-Tetrachlorobisphenol A",79-95-8,1,241,566,C15H12Cl4O2,363.9591404,Inactive,-0.9865275864923231,-1.8611552167837546,2.976957900188568,180.18008772863965,2.2557067940381406
DTXSID3021984,1-Dodecanamine,124-22-1,1,52,386,C12H27N,185.214349873,Active,0.9994554679679055,1.3044035208472888,2.086421557644485,23.58386569172352,1.3726149929127838
