DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID0023587,Sorbinil,68367-52-2,C11H9FN2O3,236.059720,0,244,0,Inactive,0,-0.7228945535194619,0.03614472767597309,19.15708812260535,1.2823294969977375
DTXSID1046051,Galactitol,608-66-2,C6H14O6,182.079038,0,244,0,Inactive,0,-0.45585285848192114,0.02279264292409606,0.009027337066020004,-2.044440341390973
DTXSID7023643,Terpin,80-53-5,C10H20O2,172.146330,0,78,0,Inactive,0,-0.3686116341315504,0.01843058170657752,0.0067077829153839585,-2.173421000952119
DTXSID4023670,Ticrynafen,40180-04-9,C13H8Cl2O4S,329.952035,0,78,0,Inactive,0,-2.705084921230898,0.1352542460615449,13.72528051775399,1.1375212293383532
DTXSID8041034,Gefitinib,184475-35-2,C22H24ClFN4O3,446.152097,72,256,28,Inactive,0,0.9600866424523862,0.04800433212261931,35.83314882089926,1.554284973263917
DTXSID6044303,Atorvastatin calcium,134523-03-8,C66H68CaF2N4O10,1154.452942,100,434,23,Inactive,0,1.288349394786642,0.0644174697393321,0.000496811800228418,-3.303808097386176
DTXSID3023340,Mycophenolate mofetil,128794-94-5,C23H31NO7,433.210052,53,244,22,Inactive,0,-0.5088022168739905,0.025440110843699525,19.15708812260535,1.2823294969977375
DTXSID1044221,Indinavir sulfate,157810-81-6,C36H49N5O8S,711.330185,48,326,15,Inactive,0,2.421398542596321,0.12106992712981605,19.15708812260535,1.2823294969977375
DTXSID5046061,Amprenavir,161814-49-9,C25H35N3O6S,505.224657,2,78,3,Inactive,0,-0.5667890947778829,0.028339454738894144,0.000042595129282388426,-4.370640059270987
DTXSID0046062,Phenacaine,101-93-9,C18H22N2O2,298.168128,3,78,4,Inactive,0,0.30570868960546604,0.015285434480273303,0.11286345139701806,-0.947446673011921
DTXSID2022753,Cefazolin,25953-19-9,C14H14N8O4S3,454.030014,2,244,1,Inactive,0,-0.3665508441485459,0.018327542207427293,0.0000490421522178913,-4.309430479031156
DTXSID4022577,Alprazolam,28981-97-7,C17H13ClN4,308.082874,8,78,10,Inactive,0,0.7054268663126249,0.03527134331563124,34.78441476550207,1.5413847009162884
DTXSID5046063,Allococaine hydrochloride,NOCAS_46063,C17H22ClNO4,339.123736,0,78,0,Inactive,0,-0.6467557483544898,0.03233778741772449,19.15708812260535,1.2823294969977375
DTXSID0046064,D-Valine,640-68-6,C5H11NO2,117.078979,0,78,0,Inactive,0,0.6008592782811877,0.030042963914059383,19.15708812260535,1.2823294969977375
DTXSID0046066,Sodium 4-aminosalicylate,133-10-8,C7H6NNaO3,175.024537,1,244,0,Inactive,0,-0.2745651941086922,0.01372825970543461,0.009033994984166955,-2.044120154902499
DTXSID4023044,Fenfluramine,458-24-2,C12H16F3N,231.123484,1,78,1,Inactive,0,-1.723840303521823,0.08619201517609115,7.9851818944251844,0.9022848133793756
DTXSID9023097,Glisoxepide,25046-79-1,C20H27N5O5S,449.173290,0,78,0,Inactive,0,-2.349543193186924,0.1174771596593462,10.368852913861902,1.0157307138880771
DTXSID4026181,Tribromsalan,87-10-5,C13H8Br3NO2,446.810518,130,330,39,Inactive,0,-3.762259717386679,0.18811298586933395,13.589745844794491,1.1332113346401147
DTXSID8023187,Ketamine,6740-88-1,C13H16ClNO,237.092042,0,78,0,Inactive,0,-0.2922908050380295,0.014614540251901476,0.24101380421178198,-0.6179580822329558
DTXSID5023586,Sofalcone,64506-49-6,C27H30O6,450.204239,56,244,23,Inactive,0,-4.940528595345567,0.24702642976727834,3.6979378190760643,0.5679596042111512
DTXSID9046071,Levobupivacaine hydrochloride,27262-48-2,C18H29ClN2O,324.196841,3,244,1,Inactive,0,-0.23766192443540005,0.011883096221770003,19.15708812260535,1.2823294969977375
DTXSID1047811,Hydroxychloroquine sulfate,747-36-4,C18H28ClN3O5S,433.143820,4,244,2,Inactive,0,-0.9357796463804078,0.046788982319020386,19.15708812260535,1.2823294969977375
DTXSID2036409,Calcium disodium ethylenediaminetetraacetate,62-33-9,C10H12CaN2Na2O8,374.001495,0,78,0,Inactive,0,-0.2824773123270956,0.01412386561635478,19.15708812260535,1.2823294969977375
DTXSID9046073,Hippuric acid,495-69-2,C9H9NO3,179.058243,0,244,0,Inactive,0,-0.4317312689399956,0.02158656344699978,0.00849222623579982,-2.0709784445989836
