DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID9034317,Benzalkonium chloride,8001-54-5,, ,181,392,46,Inactive,-0.99999999999999,409.25899609356037,16.623505257299488,0.0027499738313598032,-2.5606714388788685
DTXSID7027756,3-Phenoxybenzenemethanol,13826-35-2,C13H12O2,200.083730,49,411,12,Inactive,-0.9999999917618388,54.37325997288718,2.2085627479014973,0.006067151991331395,-2.2170151251862134
DTXSID5042243,Oleyl sarcosine,110-25-8,C21H39NO3,353.292994,103,387,27,Inactive,-0.9999999891426831,888.6010477858251,36.09368231488443,0.001335584811014443,-2.8743285286189564
DTXSID9020409,"Dibenz[a,h]anthracene",53-70-3,C22H14,278.109550,49,510,10,Inactive,-0.9999998436417709,435.8793790025081,17.704786498425957,0.0005711184190493544,-3.2432738332470596
DTXSID7044394,4-tert-Butylcyclohexanone,98-53-3,C10H18O,154.135765,28,358,8,Inactive,-0.9999997780527952,55.608601759785714,2.2587405347921607,0.013392060083388776,-1.8731526108871306
DTXSID2027963,Isooctadecanoic acid,30399-84-9,, ,22,372,6,Inactive,-0.9999997528647752,56.199704109089396,2.2827502526115473,0.002290000009874246,-2.6401645157874785
DTXSID8027036,Neopentyl glycol,126-30-7,C5H12O2,104.083730,7,475,1,Inactive,-0.9999920596313432,58.76502429485628,2.3869498279459975,0.00031971368166258343,-3.4952387783563235
DTXSID4042418,Sodium tridecyl sulfate,3026-63-9,C13H27NaO4S,302.152775,70,380,18,Inactive,-0.9998756114830436,930.7202010744027,37.80450106977775,0.06744243258544627,-1.171066773505154
DTXSID6041761,Cetylpyridinium chloride,123-03-5,C21H38ClN,339.269278,149,249,60,Inactive,-0.9998691598545644,41.173966679221124,1.6724266493568622,7.511904452856847,0.8757500553149059
DTXSID7024538,Anthralin,1143-38-0,C14H10O3,226.062994,59,627,9,Inactive,-0.999539496392264,59.65450519931141,2.4230792487592594,6.070651082267763,0.7832352720097576
DTXSID4020822,Methotrexate,59-05-2,C20H22N8O5,454.171316,121,736,16,Inactive,-0.9981137099554208,32.42697465556742,1.3171365536505164,0.11679687018898732,-0.9325687948765655
DTXSID3038939,Perfluorooctanesulfonamide,754-91-6,C8H2F17NO2S,498.953478,343,732,47,Inactive,-0.9963274193014191,34.519718920203914,1.4021407823111738,6.075628823591047,0.7835912337901256
DTXSID6025226,Econazole nitrate,24169-02-6,C18H16Cl3N3O4,443.020639,184,376,49,Inactive,-0.9892614981700169,37.7161188298616,1.5319738982837277,6.08695170099542,0.7843998557082588
DTXSID8044545,"2-Naphthacenecarboxamide, 4,7-bis(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,10,12,12a-tetrahydroxy-1,11-dioxo-, monohydrochloride",13614-98-7,C23H28ClN3O7,493.161578,18,332,5,Inactive,-0.9874397013329039,26.91107367569477,1.093088677335308,0.1501816233305984,-0.8233832056432979
DTXSID9024431,Aldicarb oxime,1646-75-9,C5H11NOS,133.056135,3,642,0,Inactive,-0.9873085431242654,36.14182620806867,1.4680284213981816,6.287179422049099,0.7984558543209184
DTXSID5042249,Phenylarsine oxide,637-03-6,C6H5AsO,167.955635,182,332,55,Inactive,-0.9686695266564221,41.67320198259024,1.6927048613678422,40.67481407732647,1.6093255764736605
DTXSID0037730,"1,4-Dihydroxy-2-naphthoic acid",31519-22-9,C11H8O4,204.042259,156,391,40,Inactive,-0.8831971765239653,49.28215163738769,2.001769331046931,0.0012282685805787823,-2.9107066573728266
DTXSID6024913,Decane,124-18-5,C10H22,142.172151,13,700,2,Inactive,-0.8726273570776059,29.271983952657095,1.18898541943679,0.5747511440927505,-0.2405201555564236
DTXSID7029110,"3,7-Dimethyl-3-octanol",78-69-3,C10H22O,158.167065,4,361,1,Inactive,-0.850551554164937,27.52159551863,1.117887186745251,6.686470374806949,0.8251969247539481
DTXSID2032344,Chlorethoxyfos,54593-83-8,C6H11Cl4O3PS,333.892063,128,717,18,Inactive,-0.7643999563485772,32.03403097000862,1.3011757525806336,24.999999999999996,1.3979400086720375
DTXSID2021028,N-Nitrosodiethylamine,55-18-5,C4H10N2O,102.079313,6,647,1,Inactive,-0.5137221246092233,39.52004581767318,1.6052467891716649,25,1.3979400086720377
DTXSID4020666,Glycidol,556-52-5,C3H6O2,74.036779,11,594,2,Inactive,-0.4452631176484845,39.98547765101546,1.6241519533887787,25,1.3979400086720377
DTXSID0021206,"1,2-Propylene glycol",57-55-6,C3H8O2,76.052429,6,623,1,Inactive,-0.35524711756988053,27.41920158461476,1.1137280940517118,25,1.3979400086720377
DTXSID4022070,2-Tridecanone,593-08-8,C13H26O,198.198365,69,439,16,Inactive,-0.32361296303063525,23.50630050236322,0.9547917424186955,0.1707463522883988,-0.767648565526029
DTXSID1048170,FR150011,149413-74-1,C24H23NO4S,421.134779,290,633,46,Inactive,-0.2985714536601295,38.45258016192822,1.5618878865949546,25,1.3979400086720377
