DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID0020151,Benzyl acetate,140-11-4,C9H10O2,150.068080,13,365,4,Inactive,0,1.877213361894971,0.12715418791895858,2.7477996849939297,0.4389850694090916
DTXSID1038666,Chlorpyrifos oxon,5598-15-2,C9H11Cl3NO4P,332.949128,228,768,30,Inactive,0,5.034992128858324,0.34104825179650977,3.3003753353715513,0.5185633328510506
DTXSID3040352,Dinocap,39300-45-3,, ,318,509,62,Inactive,0,-8.798888925023128,0.5959980887420465,1.585846846470294,0.20026124291568234
DTXSID4023202,"4,4'-(1H-1,2,4-Triazol-1-ylmethylene)dibenzonitrile",112809-51-5,C17H11N5,285.101445,12,387,3,Inactive,0,1.0056473122651712,0.06811813186481867,99.99999999999999,2
DTXSID4035708,Methylbenzethonium chloride,25155-18-4,C28H44ClNO2, ,207,395,52,Inactive,-0.00019014970384324185,-11.241976289367951,0.7614820961192087,26.918555095874247,1.4300517446035779
DTXSID7040360,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",163520-33-0,C18H17NO3,295.120843,26,480,5,Inactive,0,-1.6351552832372898,0.11075823685356077,0.00020000000343033364,-3.698969996887144
DTXSID0021464,Ziram,137-30-4,C6H12N2S4Zn,303.917475,379,642,59,Inactive,-0.9963909505404759,-18.547491468223516,1.2563256065869217,13.882181599015588,1.1424577213035207
DTXSID0047246,Darbufelone mesylate,139340-56-0,C19H28N2O5S2,428.143964,321,636,50,Inactive,0,6.176918845922939,0.4183973519673818,39.84069915212653,1.6003269511182858
DTXSID0047248,CI-1018,NOCAS_47248,C24H20N4O2,396.158626,108,638,17,Inactive,0,-1.877496689073357,0.12717337925757483,19.84251635735888,1.2975967469924279
DTXSID0047290,UK-416244,402910-27-4,C17H22N2O3S2,366.107185,150,664,23,Inactive,0,-2.75070256855584,0.18632051018337065,0.0007605850938152855,-3.1188521902802133
DTXSID0047294,CP-863187,668981-02-0,C18H14F2N4O,340.113567,118,615,19,Inactive,0,-5.298071177684113,0.35886807105145435,0.028579472919207122,-1.5439457850058844
DTXSID0047296,Zenarestat,112733-06-9,C17H11BrClFN2O4,439.957476,49,609,8,Inactive,0.001732672488864204,10.546968634050454,0.7144053302047861,100,2
