DTXSID,Preferred Name,CASRN,QC Level,ToxCast: # Active,ToxCast: Total,Molecular Formula,Monoisotopic Mass,Hit Call,Continuous Hit Call,Top,Scaled Top,AC50,Log AC50
DTXSID1020560,Endosulfan,115-29-7,1,345,810,C9H6Cl6O3S,403.8168814,Active,0.9985199650020388,1.3063383353377036,1.7697487401928047,1.984251489713072,0.2975967150323155
DTXSID0032520,Azoxystrobin,131860-33-8,1,274,883,C22H17N3O5,403.116820659,Inactive,0.0009921177166957228,0.34675616051726166,0.4697644259753555,1.0,0.0
DTXSID0032655,Triticonazole,131983-72-7,1,100,767,C17H20ClN3O,317.12949,Active,0.9999999138051575,1.1230010319617363,1.5213743697077746,3.9542110752056314,0.5970598481719871
DTXSID0034192,17beta-Trenbolone,10161-33-8,1,189,717,C18H22O2,270.161979948,Inactive,0.0007551248330964012,0.5827325793299174,0.7894511094415863,0.1,-1.0
DTXSID1034187,Tamoxifen,10540-29-1,1,371,750,C26H29NO,371.224914558,Inactive,-0.9999926122237455,-2.201299765154411,2.9821887491050627,0.04126940178931938,-1.3843718262880924
DTXSID3031864,Perfluorooctanesulfonic acid,1763-23-1,1,303,1055,C8HF17O3S,499.937493837,Inactive,1.488325426513127e-16,0.4386918680889247,0.5943134024942327,21.26408078990017,1.3276466136429186
DTXSID3036496,Levonorgestrel,797-63-7,1,85,671,C21H28O2,312.208930142,Active,0.999967948522998,1.7338996758081395,2.3489831721802052,0.2766023585040285,-0.5581441211142056
DTXSID4025082,Diisodecyl phthalate,26761-40-0,1,11,518,C28H46O4,,Inactive,2.542584791011693e-06,0.30775772857277145,0.4169316919613035,100.0,2.0
DTXSID4032613,Fenitrothion,122-14-5,1,145,787,C9H12NO5PS,277.017380662,Active,0.9999908163323981,1.498160843110878,2.029618356117718,36.6713937826761,1.5643274166587728
DTXSID4034497,Metconazole,125116-23-6,1,121,468,C17H22ClN3O,319.14514,Active,0.9999992046795629,1.2563754796775688,1.7020620632661108,5.171954255647018,0.7136546750235275
DTXSID5029055,"4-Nonylphenol, branched",84852-15-3,1,344,796,,,Active,0.9999999827248213,1.94808321746474,2.6391461741859703,0.5071133720748725,-0.29489493738791833
DTXSID5031131,Dipentyl phthalate,131-18-0,1,91,716,C18H26O4,306.183109317,Active,0.9999993563409396,1.5843020672424877,2.1463173143904024,24.227178639705176,1.3843028416013707
DTXSID7032638,Pyraclostrobin,175013-18-0,1,355,851,C19H18ClN3O4,387.0985838,Inactive,2.0016784229804738e-06,0.4983176545012907,0.6750908378123283,0.4628912594666817,-0.3345210196951055
DTXSID8033562,Hydroxyflutamide,52806-53-8,1,130,676,C11H11F3N2O4,292.067091331,Inactive,1.3469577887076274e-06,0.06966603721576767,0.0943793642593805,50.00000000000001,1.6989700043360187
DTXSID1020510,"7,12-Dimethylbenz[a]anthracene",57-97-6,1,356,712,C20H16,256.1252005152,Active,0.9999868214233949,2.41220685166383,3.267913006405748,3.9203149634128662,0.5933209602289371
DTXSID1020770,Kepone,143-50-0,1,450,770,C10Cl10O,485.6834416,Active,0.9999969048969942,1.5526976830382462,2.1035015922937474,0.661747815189207,-0.17930748388054352
DTXSID1021322,Tetraethylthiuram disulfide,97-77-8,1,325,768,C10H20N2S4,296.050933348,Inactive,-0.9911911851256971,-1.831358068719144,2.4810139511980145,15.350455086341537,1.1861212552892448
